_vname_,_label_,_x_,_yhat_,_ids_
Plec,Random Forest,0.7000000000000001,0.1425,0
Plec,Random Forest,0.71,0.1425,0
Plec,Random Forest,0.72,0.1425,0
Plec,Random Forest,0.73,0.1425,0
Plec,Random Forest,0.74,0.1425,0
Plec,Random Forest,0.75,0.1425,0
Plec,Random Forest,0.76,0.1425,0
Plec,Random Forest,0.77,0.1425,0
Plec,Random Forest,0.78,0.1425,0
Plec,Random Forest,0.79,0.1425,0
Plec,Random Forest,0.8,0.1425,0
Plec,Random Forest,0.81,0.1425,0
Plec,Random Forest,0.8200000000000001,0.1425,0
Plec,Random Forest,0.8300000000000001,0.1425,0
Plec,Random Forest,0.84,0.1425,0
Plec,Random Forest,0.85,0.1425,0
Plec,Random Forest,0.86,0.1425,0
Plec,Random Forest,0.87,0.1425,0
Plec,Random Forest,0.88,0.1425,0
Plec,Random Forest,0.89,0.1425,0
Plec,Random Forest,0.9,0.1425,0
Plec,Random Forest,0.91,0.1425,0
Plec,Random Forest,0.92,0.1425,0
Plec,Random Forest,0.93,0.1425,0
Plec,Random Forest,0.9400000000000001,0.1425,0
Plec,Random Forest,0.9500000000000001,0.1425,0
Plec,Random Forest,0.96,0.1425,0
Plec,Random Forest,0.97,0.1425,0
Plec,Random Forest,0.98,0.1425,0
Plec,Random Forest,0.99,0.1425,0
Plec,Random Forest,1.0,0.1425,0
Wiek,Random Forest,11467.0,0.17416666666666666,0
Wiek,Random Forest,11642.72,0.17416666666666666,0
Wiek,Random Forest,11818.44,0.17416666666666666,0
Wiek,Random Forest,11994.16,0.17416666666666666,0
Wiek,Random Forest,12169.88,0.17416666666666666,0
Wiek,Random Forest,12345.6,0.17416666666666666,0
Wiek,Random Forest,12521.32,0.15583333333333335,0
Wiek,Random Forest,12697.04,0.14583333333333334,0
Wiek,Random Forest,12872.76,0.14583333333333334,0
Wiek,Random Forest,13048.48,0.14583333333333334,0
Wiek,Random Forest,13224.2,0.14583333333333334,0
Wiek,Random Forest,13399.92,0.14291666666666666,0
Wiek,Random Forest,13575.64,0.14291666666666666,0
Wiek,Random Forest,13751.36,0.14291666666666666,0
Wiek,Random Forest,13927.08,0.14291666666666666,0
Wiek,Random Forest,14102.8,0.14291666666666666,0
Wiek,Random Forest,14278.52,0.14291666666666666,0
Wiek,Random Forest,14454.24,0.14291666666666666,0
Wiek,Random Forest,14629.96,0.14291666666666666,0
Wiek,Random Forest,14805.68,0.14291666666666666,0
Wiek,Random Forest,14981.4,0.14291666666666666,0
Wiek,Random Forest,15157.119999999999,0.14291666666666666,0
Wiek,Random Forest,15332.84,0.14291666666666666,0
Wiek,Random Forest,15508.56,0.14291666666666666,0
Wiek,Random Forest,15684.279999999999,0.14291666666666666,0
Wiek,Random Forest,15860.0,0.14291666666666666,0
Wiek,Random Forest,16035.720000000001,0.14291666666666666,0
Wiek,Random Forest,16211.439999999999,0.14291666666666666,0
Wiek,Random Forest,16387.16,0.14291666666666666,0
Wiek,Random Forest,16562.88,0.14291666666666666,0
Wiek,Random Forest,16738.6,0.14291666666666666,0
Wiek,Random Forest,16914.32,0.14291666666666666,0
Wiek,Random Forest,17090.04,0.14291666666666666,0
Wiek,Random Forest,17265.760000000002,0.14291666666666666,0
Wiek,Random Forest,17441.48,0.14291666666666666,0
Wiek,Random Forest,17617.2,0.14291666666666666,0
Wiek,Random Forest,17792.92,0.14291666666666666,0
Wiek,Random Forest,17968.64,0.14291666666666666,0
Wiek,Random Forest,18144.36,0.14291666666666666,0
Wiek,Random Forest,18320.08,0.14291666666666666,0
Wiek,Random Forest,18495.8,0.14291666666666666,0
Wiek,Random Forest,18671.52,0.14291666666666666,0
Wiek,Random Forest,18847.239999999998,0.1375,0
Wiek,Random Forest,19022.96,0.1375,0
Wiek,Random Forest,19198.68,0.1375,0
Wiek,Random Forest,19374.4,0.1375,0
Wiek,Random Forest,19550.12,0.1375,0
Wiek,Random Forest,19725.84,0.1375,0
Wiek,Random Forest,19901.559999999998,0.1375,0
Wiek,Random Forest,20077.28,0.1375,0
Wiek,Random Forest,20253.0,0.1375,0
Wiek,Random Forest,20428.72,0.1375,0
Wiek,Random Forest,20604.440000000002,0.1375,0
